iter	RMSE
0	0.3850926719
1	0.3842042053
2	0.383922478
3	0.3832600075
4	0.3830814412
5	0.3826958956
6	0.3824207667
7	0.3823195424
8	0.3822268516
9	0.3819326993
10	0.3817111291
11	0.3815747954
12	0.3813527471
13	0.3812849256
14	0.3811304361
15	0.3809814393
16	0.3808185452
17	0.3807553681
18	0.3806446491
19	0.3805638626
20	0.3804642184
21	0.3804096382
22	0.3803445132
23	0.3801696399
24	0.3800826101
25	0.379963739
26	0.3798695877
27	0.3797925166
28	0.3796716617
29	0.3795661211
30	0.379528392
31	0.3794652566
32	0.3793873981
33	0.3793367858
34	0.3793040246
35	0.3792309676
36	0.3791857722
37	0.3791261024
38	0.3790846583
39	0.3790438458
40	0.3790063855
41	0.3788993876
42	0.3788312325
43	0.3787427733
44	0.3786818871
45	0.3786227902
46	0.3785602535
47	0.3785097066
48	0.3783934089
49	0.3783601158
50	0.3783447403
51	0.3782678329
52	0.3782171585
53	0.3781966255
54	0.3781442488
55	0.3780869649
56	0.3780658618
57	0.3780052194
58	0.377978539
59	0.3779201085
60	0.3778710434
61	0.3778368306
62	0.3777923632
63	0.377732488
64	0.3777060774
65	0.3776840547
66	0.3776253815
67	0.3775890586
68	0.3775250004
69	0.3774855433
70	0.3774394362
71	0.3774130439
72	0.3773207309
73	0.3772670877
74	0.3772047319
75	0.3771852497
76	0.3771417591
77	0.3770983347
78	0.3770262859
79	0.376977813
80	0.3769136408
81	0.376892758
82	0.3768780854
83	0.376850413
84	0.3768353964
85	0.3768081231
86	0.3767754
87	0.3767428309
88	0.3767158592
89	0.3766797723
90	0.3766680632
91	0.3766578924
92	0.3766286105
93	0.3765916206
94	0.3765458757
95	0.3765013158
96	0.3764391128
97	0.3764100445
98	0.3763946759
99	0.3763680475
100	0.376317926
101	0.3762693522
102	0.3762602163
103	0.3762082444
104	0.3761694034
105	0.3761214663
106	0.3761077564
107	0.3760836979
108	0.3760376382
109	0.3760170819
110	0.3759868955
111	0.3759363492
112	0.3759247711
113	0.3759149321
114	0.3758990207
115	0.3758668382
116	0.3758276186
117	0.3757875346
118	0.375757172
119	0.3757491955
120	0.3757316594
121	0.3757035426
122	0.3756749811
123	0.3756486819
124	0.3756390864
125	0.3756174878
126	0.3755993843
127	0.3755744675
128	0.3755429901
129	0.3755164331
130	0.3754916217
131	0.3754560912
132	0.3754471931
133	0.3754069068
134	0.3754018864
135	0.3753858819
136	0.3753589905
137	0.3753322367
138	0.3753118898
139	0.375290155
140	0.3752691241
141	0.3752465784
142	0.375229479
143	0.3751984768
144	0.3751848526
145	0.3751661343
146	0.3751430257
147	0.3751323945
148	0.3751005539
149	0.3750855662
150	0.3750700957
151	0.3750404918
152	0.3750127971
