iter	Passed	Remaining
0	50	25942
1	94	24385
2	134	23108
3	178	22969
4	222	22823
5	261	22394
6	299	21874
7	328	20982
8	357	20278
9	392	19979
10	429	19823
11	464	19638
12	502	19547
13	537	19389
14	572	19244
15	613	19300
16	648	19148
17	690	19207
18	732	19286
19	778	19422
20	817	19388
21	853	19282
22	882	19039
23	922	19031
24	961	18992
25	995	18866
26	1024	18672
27	1058	18558
28	1091	18438
29	1126	18365
30	1157	18222
31	1188	18091
32	1224	18037
33	1257	17934
34	1286	17794
35	1322	17742
36	1360	17727
37	1391	17611
38	1422	17507
39	1452	17399
40	1488	17352
41	1526	17340
42	1566	17343
43	1600	17279
44	1633	17204
45	1665	17123
46	1701	17090
47	1732	16999
48	1769	16975
49	1799	16878
50	1831	16807
51	1868	16779
52	1903	16739
53	1934	16656
54	1969	16617
55	2001	16550
56	2033	16482
57	2067	16432
58	2103	16401
59	2144	16403
60	2178	16359
61	2213	16314
62	2247	16269
63	2278	16201
64	2312	16148
65	2342	16078
66	2378	16045
67	2410	15986
68	2448	15967
69	2479	15905
70	2526	15939
71	2565	15926
72	2611	15953
73	2653	15955
74	2695	15959
75	2743	15992
76	2781	15966
77	2819	15939
78	2858	15921
79	2902	15929
80	2941	15905
81	2980	15881
82	3013	15827
83	3047	15779
84	3077	15712
85	3111	15664
86	3145	15618
87	3182	15584
88	3215	15534
89	3259	15536
90	3298	15515
91	3331	15463
92	3376	15464
93	3428	15502
94	3467	15477
95	3507	15455
96	3546	15428
97	3588	15417
98	3628	15391
99	3665	15359
100	3710	15356
101	3750	15333
102	3782	15278
103	3822	15253
104	3862	15231
105	3896	15183
106	3930	15135
107	3960	15073
108	3993	15022
109	4027	14973
110	4054	14903
111	4088	14857
112	4113	14778
113	4140	14709
114	4166	14637
115	4201	14596
116	4240	14570
117	4271	14515
118	4305	14473
119	4329	14394
120	4356	14328
121	4386	14274
122	4424	14243
123	4461	14212
124	4490	14153
125	4528	14125
126	4563	14085
127	4595	14036
128	4626	13986
129	4663	13954
130	4693	13900
131	4724	13851
132	4752	13792
133	4781	13736
134	4803	13662
135	4840	13631
136	4876	13596
137	4911	13560
138	4952	13538
139	4993	13519
140	5036	13502
141	5073	13470
142	5110	13437
143	5146	13403
144	5183	13371
145	5222	13342
146	5259	13309
147	5298	13282
148	5334	13246
149	5364	13197
150	5400	13161
151	5429	13110
152	5463	13070
153	5498	13033
154	5525	12975
155	5555	12928
156	5586	12879
157	5614	12827
158	5641	12773
159	5677	12738
160	5708	12694
161	5736	12642
162	5766	12594
163	5795	12545
164	5824	12495
165	5855	12451
166	5887	12410
167	5922	12374
168	5952	12327
169	5981	12280
170	6014	12239
171	6046	12198
172	6087	12174
173	6124	12143
174	6157	12103
175	6189	12063
176	6215	12008
177	6245	11965
178	6277	11924
179	6314	11892
180	6346	11850
181	6382	11818
182	6425	11798
183	6461	11763
184	6497	11731
185	6533	11696
186	6566	11658
187	6593	11609
188	6626	11569
189	6651	11517
190	6678	11468
191	6717	11441
192	6757	11414
193	6790	11375
194	6824	11338
195	6863	11311
196	6893	11268
197	6931	11236
198	6966	11202
199	6996	11160
200	7031	11125
201	7063	11084
202	7096	11047
203	7147	11037
204	7185	11005
205	7226	10980
206	7260	10943
207	7302	10918
208	7332	10875
209	7376	10853
210	7415	10824
211	7443	10778
212	7477	10742
213	7518	10715
214	7549	10675
215	7585	10641
216	7625	10612
217	7658	10574
218	7687	10531
219	7717	10488
220	7749	10449
221	7780	10408
222	7818	10378
223	7858	10349
224	7899	10322
225	7945	10301
226	7995	10285
227	8030	10249
228	8072	10222
229	8107	10187
230	8137	10145
231	8164	10099
232	8190	10053
233	8225	10017
234	8258	9980
235	8289	9939
236	8317	9896
237	8350	9858
238	8377	9814
239	8413	9781
240	8440	9736
241	8469	9693
242	8500	9655
243	8533	9617
244	8560	9573
245	8591	9534
246	8626	9500
247	8665	9469
248	8703	9437
249	8740	9404
250	8770	9364
251	8803	9327
252	8836	9290
253	8873	9257
254	8904	9218
255	8934	9178
256	8963	9137
257	8998	9103
258	9037	9072
259	9074	9039
260	9108	9004
261	9138	8964
262	9172	8928
263	9206	8892
264	9243	8859
265	9274	8821
266	9308	8785
267	9342	8750
268	9375	8713
269	9405	8674
270	9436	8635
271	9466	8596
272	9490	8551
273	9521	8513
274	9550	8474
275	9585	8439
276	9622	8406
277	9660	8374
278	9703	8346
279	9733	8308
280	9769	8274
281	9803	8239
282	9833	8200
283	9869	8166
284	9900	8129
285	9929	8089
286	9961	8052
287	9993	8015
288	10027	7980
289	10068	7950
290	10103	7915
291	10129	7875
292	10157	7834
293	10183	7793
294	10214	7755
295	10245	7718
296	10278	7683
297	10310	7646
298	10338	7607
299	10369	7569
300	10399	7531
301	10423	7490
302	10454	7452
303	10489	7418
304	10520	7381
305	10547	7341
306	10576	7303
307	10603	7263
308	10637	7229
309	10664	7189
310	10692	7151
311	10723	7114
312	10753	7077
313	10780	7038
314	10810	7001
315	10840	6963
316	10873	6928
317	10907	6894
318	10937	6857
319	10966	6819
320	10997	6783
321	11025	6745
322	11053	6707
323	11082	6670
324	11112	6633
325	11144	6598
326	11170	6559
327	11193	6518
328	11219	6479
329	11250	6443
330	11279	6406
331	11311	6371
332	11342	6335
333	11372	6298
334	11405	6264
335	11437	6229
336	11472	6195
337	11506	6161
338	11540	6127
339	11573	6093
340	11605	6057
341	11639	6024
342	11670	5988
343	11703	5953
344	11738	5920
345	11776	5888
346	11812	5855
347	11845	5820
348	11880	5787
349	11914	5752
350	11948	5718
351	11976	5682
352	12005	5645
353	12031	5607
354	12063	5573
355	12093	5537
356	12132	5505
357	12173	5474
358	12210	5442
359	12254	5412
360	12283	5376
361	12313	5340
362	12348	5306
363	12378	5270
364	12407	5235
365	12433	5197
366	12462	5161
367	12490	5125
368	12520	5089
369	12552	5054
370	12587	5021
371	12626	4989
372	12663	4956
373	12700	4923
374	12737	4891
375	12779	4860
376	12810	4825
377	12844	4791
378	12876	4756
379	12915	4724
380	12950	4690
381	12987	4657
382	13012	4620
383	13041	4585
384	13067	4548
385	13095	4512
386	13122	4475
387	13151	4440
388	13181	4405
389	13216	4371
390	13245	4336
391	13274	4300
392	13303	4265
393	13330	4229
394	13363	4195
395	13397	4161
396	13429	4126
397	13461	4092
398	13490	4057
399	13517	4021
400	13544	3985
401	13571	3949
402	13604	3915
403	13641	3883
404	13668	3847
405	13706	3814
406	13736	3780
407	13768	3745
408	13805	3713
409	13842	3680
410	13872	3645
411	13899	3609
412	13932	3575
413	13960	3540
414	13992	3506
415	14028	3473
416	14059	3439
417	14097	3406
418	14134	3373
419	14174	3341
420	14204	3306
421	14235	3272
422	14260	3236
423	14290	3201
424	14321	3167
425	14345	3131
426	14374	3097
427	14404	3062
428	14440	3029
429	14469	2994
430	14491	2958
431	14519	2924
432	14552	2890
433	14582	2856
434	14612	2821
435	14642	2787
436	14674	2753
437	14705	2719
438	14737	2685
439	14767	2651
440	14798	2617
441	14825	2582
442	14862	2549
443	14887	2514
444	14918	2480
445	14943	2445
446	14967	2410
447	14997	2376
448	15022	2342
449	15055	2308
450	15088	2274
451	15119	2241
452	15149	2207
453	15180	2173
454	15210	2139
455	15234	2104
456	15266	2071
457	15294	2037
458	15321	2002
459	15344	1968
460	15375	1934
461	15400	1900
462	15431	1866
463	15458	1832
464	15493	1799
465	15522	1765
466	15552	1731
